1232021-11-02 05:02:27,443 gpu device = 0
2021-11-02 05:38:23,488 train 750 8.238134e-01 80.107773 98.897304
2021-11-02 05:38:33,340 train_acc 80.168000
2021-11-02 05:38:33,511 valid 000 1.592126e-01 90.476189 100.000000
2021-11-02 05:38:35,919 valid 050 5.135902e-01 82.819794 99.159664
2021-11-02 05:38:38,445 valid 100 5.286370e-01 81.895332 98.962754
2021-11-02 05:38:40,931 valid 150 5.436737e-01 81.993061 98.959319
2021-11-02 05:38:43,295 valid 200 5.510679e-01 81.663112 98.862829
2021-11-02 05:38:45,944 valid 250 5.453630e-01 81.692278 98.918612
2021-11-02 05:38:48,334 valid 300 5.447495e-01 81.521910 99.019143
2021-11-02 05:38:50,860 valid 350 5.389181e-01 81.766381 99.104600
2021-11-02 05:38:53,456 valid 400 5.409287e-01 81.712385 99.133120
2021-11-02 05:38:55,816 valid 450 5.382641e-01 81.744271 99.144758
2021-11-02 05:38:57,221 valid_acc 81.689999
2021-11-02 05:38:57,222 epoch 8 lr 2.460729e-02
2021-11-02 05:38:57,669 train 000 8.981233e-01 76.562500 98.437500
2021-11-02 05:39:13,566 train 050 7.766276e-01 81.158088 98.835784
2021-11-02 05:39:29,534 train 100 7.929884e-01 80.956064 98.994431
2021-11-02 05:39:45,447 train 150 7.910636e-01 80.825745 99.027318
2021-11-02 05:40:01,322 train 200 7.803377e-01 80.985697 99.051617
2021-11-02 05:40:17,221 train 250 7.854301e-01 80.938745 98.985309
2021-11-02 05:40:33,086 train 300 7.851628e-01 80.959302 98.966985
2021-11-02 05:40:48,980 train 350 7.854473e-01 80.991809 98.931624
2021-11-02 05:41:05,028 train 400 7.890414e-01 80.953865 98.944046
2021-11-02 05:41:21,000 train 450 7.898714e-01 80.979767 98.929462
2021-11-02 05:41:36,945 train 500 7.921459e-01 81.031687 98.908433
2021-11-02 05:41:52,854 train 550 7.875799e-01 81.077019 98.919578
2021-11-02 05:42:08,748 train 600 7.878121e-01 81.086210 98.918469
2021-11-02 05:42:24,656 train 650 7.867320e-01 81.144393 98.919931
2021-11-02 05:42:40,552 train 700 7.881869e-01 81.040478 98.921184
2021-11-02 05:42:56,584 train 750 7.855859e-01 81.056508 98.943076
2021-11-02 05:43:06,364 train_acc 81.092000
2021-11-02 05:43:06,513 valid 000 1.798007e-01 95.238098 100.000000
2021-11-02 05:43:09,119 valid 050 4.127480e-01 85.714285 99.439776
2021-11-02 05:43:11,609 valid 100 4.131138e-01 86.185761 99.339934
2021-11-02 05:43:14,080 valid 150 4.293725e-01 85.966571 99.211606
2021-11-02 05:43:16,540 valid 200 4.246952e-01 85.903814 99.218195
2021-11-02 05:43:18,876 valid 250 4.195188e-01 86.112692 99.279075
2021-11-02 05:43:21,402 valid 300 4.158280e-01 86.173073 99.351369
2021-11-02 05:43:23,872 valid 350 4.087388e-01 86.392619 99.403066
2021-11-02 05:43:26,324 valid 400 4.086136e-01 86.308039 99.394372
2021-11-02 05:43:28,869 valid 450 4.094814e-01 86.368915 99.408722
2021-11-02 05:43:30,131 valid_acc 86.440000
2021-11-02 05:43:30,133 epoch 9 lr 2.450367e-02
2021-11-02 05:43:30,592 train 000 7.170385e-01 81.250000 98.437500
2021-11-02 05:43:46,488 train 050 7.334143e-01 81.893382 98.866422
2021-11-02 05:44:02,461 train 100 7.359855e-01 82.008045 99.056312
2021-11-02 05:44:18,414 train 150 7.393864e-01 81.819123 99.068709
2021-11-02 05:44:34,387 train 200 7.520246e-01 81.677550 99.036070
2021-11-02 05:44:50,304 train 250 7.460385e-01 81.723108 99.066235
2021-11-02 05:45:06,196 train 300 7.503596e-01 81.758721 99.044850
2021-11-02 05:45:22,310 train 350 7.526494e-01 81.744124 99.100783
2021-11-02 05:45:38,262 train 400 7.567482e-01 81.674719 99.119389
2021-11-02 05:45:54,158 train 450 7.612814e-01 81.620704 99.137334
2021-11-02 05:46:09,985 train 500 7.594684e-01 81.689746 99.139222
2021-11-02 05:46:25,931 train 550 7.575018e-01 81.700885 99.154946
2021-11-02 05:46:41,882 train 600 7.608381e-01 81.577579 99.134255
2021-11-02 05:46:57,757 train 650 7.621006e-01 81.586022 99.119144
2021-11-02 05:47:13,642 train 700 7.600059e-01 81.684647 99.092814
2021-11-02 05:47:29,573 train 750 7.591230e-01 81.711884 99.101198
2021-11-02 05:47:39,379 train_acc 81.732000
2021-11-02 05:47:39,531 valid 000 1.289770e-01 90.476189 100.000000
2021-11-02 05:47:42,026 valid 050 4.639035e-01 84.780579 99.439776
2021-11-02 05:47:44,651 valid 100 4.493953e-01 84.724186 99.292787
2021-11-02 05:47:46,978 valid 150 4.657035e-01 84.389782 99.337749
2021-11-02 05:47:49,498 valid 200 4.708459e-01 84.198057 99.312959
2021-11-02 05:47:51,833 valid 250 4.613210e-01 84.348320 99.373933
2021-11-02 05:47:54,450 valid 300 4.659105e-01 84.132257 99.367189
2021-11-02 05:47:56,878 valid 350 4.609259e-01 84.262650 99.416633
2021-11-02 05:47:59,389 valid 400 4.613976e-01 84.313026 99.441872
2021-11-02 05:48:01,935 valid 450 4.656459e-01 84.288881 99.419280
2021-11-02 05:48:03,205 valid_acc 84.299999
2021-11-02 05:48:03,206 epoch 10 lr 2.438821e-02
2021-11-02 05:48:03,668 train 000 8.963276e-01 76.562500 100.000000
2021-11-02 05:48:19,520 train 050 7.461727e-01 81.985294 99.111520
2021-11-02 05:48:35,412 train 100 7.253745e-01 82.131807 99.149134
2021-11-02 05:48:51,348 train 150 7.239855e-01 82.481374 99.099752
2021-11-02 05:49:07,268 train 200 7.250969e-01 82.377177 99.129353
2021-11-02 05:49:23,150 train 250 7.221714e-01 82.445219 99.128486
2021-11-02 05:49:39,025 train 300 7.253707e-01 82.480274 99.107143
2021-11-02 05:49:54,981 train 350 7.265959e-01 82.425214 99.091880
2021-11-02 05:50:10,877 train 400 7.272701e-01 82.329333 99.107700
2021-11-02 05:50:26,793 train 450 7.328502e-01 82.185421 99.064579
2021-11-02 05:50:42,784 train 500 7.307386e-01 82.216816 99.070609
2021-11-02 05:50:58,653 train 550 7.305715e-01 82.234006 99.078380
2021-11-02 05:51:14,614 train 600 7.303988e-01 82.266535 99.087458
2021-11-02 05:51:30,447 train 650 7.313119e-01 82.277266 99.075941
2021-11-02 05:51:46,334 train 700 7.342558e-01 82.192850 99.066066
2021-11-02 05:52:02,186 train 750 7.339715e-01 82.227863 99.084554
2021-11-02 05:52:12,115 train_acc 82.236000
2021-11-02 05:52:12,243 valid 000 1.093275e-01 95.238098 100.000000
2021-11-02 05:52:14,537 valid 050 3.905508e-01 87.394957 99.439776
2021-11-02 05:52:17,006 valid 100 3.947433e-01 86.374351 99.292787
2021-11-02 05:52:19,334 valid 150 3.930469e-01 86.534216 99.337749
2021-11-02 05:52:21,760 valid 200 3.938611e-01 86.661928 99.360342
2021-11-02 05:52:24,225 valid 250 3.869365e-01 86.985392 99.392905
2021-11-02 05:52:26,628 valid 300 3.819958e-01 87.153931 99.398830
2021-11-02 05:52:29,166 valid 350 3.768324e-01 87.301587 99.430200
2021-11-02 05:52:31,600 valid 400 3.758724e-01 87.174920 99.501247
2021-11-02 05:52:34,128 valid 450 3.772436e-01 87.171365 99.503749
